Sample,Plant,Day 1,Day 1,Day 1,Day 2,Day 2,Day 2,Day 3,Day 3,Day 3,Day 4,Day 4,Day 4,Day 5,Day 5,Day 5,Day 6,Day 6,Day 6,Day 7,Day 7,Day 7,Day 8,Day 8,Day 8,Day 9,Day 9,Day 9,Day 10,Day 10,Day 10,Day 11,Day 11,Day 11
,,Height,Leaves,Stems,Height,Leaves,Stems,Height,Leaves,Stems,Height,Leaves,Stems,Height,Leaves,Stems,Height,Leaves,Stems,Height,Leaves,Stems,Height,Leaves,Stems,Height,Leaves,Stems,Height,Leaves,Stems,Height,Leaves,Stems
B3,Mucuna,19,26,3,25,29,3,40,40,4,53,49,4,64.4,52,4,69,59,4,76,62,4,83.2,66,4,85,71,5,85,79,5,91,84,6
B3,Mucuna,18,28,3,39,31,3,54,37,4,75,47,4,95.6,54,4,129,61,4,140,69,4,146,76,4,148,87,4,148,96,4,152,101,5
B3,Mucuna,21.4,31,4,24,35,4,45,39,4,58,47,4,91,55,4,121,61,4,125,66,4,129,72,4,131,76,4,131,79,4,137,84,5
B3,Mucuna,24,28,3,32.8,31,4,47,37,4,69,37,4,89,44,4,100.7,55,4,114.6,64,4,121,76,4,123,80,4,123,86,4,126.7,90,5
C3,Mucuna,25,24,3,45,27,3,65,32,4,78,48,4,87.7,62,4,104.8,75,4,121.1,71,5,137,71,5,139,76,5,139,81,5,142.7,86,6
C3,Mucuna,24.6,25,3,27.6,29,3,60,39,4,73,51,4,90,60,4,114,64,5,119.9,66,5,124,66,5,125.6,71,5,125.6,79,5,127.9,83,6
C3,Mucuna,28,22,3,44,31,3,69,37,4,82,49,4,100.7,60,4,109,61,4,111,64,5,112,64,5,114,69,5,114,76,5,119,81,6
C3,Mucuna,29,28,4,46,33,4,71,42,4,85,51,4,105,68,5,111,71,5,115,74,4,117,74,4,119,69,4,119,72,4,123.4,77,5
D3,Mucuna,22.4,28,3,25.9,31,3,36,34,3,49,49,4,100,58,4,120,67,4,122,74,4,122,86,4,124.2,98,5,124.2,107,5,127.6,111,6
D3,Mucuna,17.8,22,3,21.3,25,3,34,28,3,47,47,4,98,54,4,100,61,4,101,64,4,101,69,4,103.8,74,4,103.8,79,4,106.7,85,5
D3,Mucuna,14,25,3,23,28,3,36,32,3,51,47,4,127,55,4,130,59,4,132,68,4,132,76,4,133.7,84,4,133.7,90,5,137.1,94,6
D3,Mucuna,17,11,3,25,15,3,65,19,3,78.9,37,4,95.7,44,4,100,55,4,102,64,4,105,76,4,106.9,80,4,106.9,86,4,109.2,91,5
A4,Mucuna,28,29,3,32,33,4,36,38,4,43,41,4,55.6,44,4,59,47,4,61,49,4,66,55,4,69,56,5,72,62,5,77.6,66,6
A4,Mucuna,25,34,4,32.8,37,4,46.7,41,4,75,43,4,115,46,4,119,49,4,121,54,4,123,57,4,125,62,4,125,66,4,127.5,71,5
A4,Mucuna,7.9,28,3,11.2,32,3,14.3,35,4,17.7,39,4,21,41,4,24.7,49,4,29,51,4,31,58,4,32.8,62,4,32.8,67,5,41,72,6
A4,Mucuna,25,28,3,31,32,4,39,37,4,47,41,4,65.9,44,4,89.6,55,4,95,64,4,99,76,5,102.6,80,5,106.9,86,5,109.7,92,6
B4,Mucuna,21.2,25,2,25,28,3,40,32,3,53,37,3,64.4,44,3,69,49,3,76,54,3,83.2,66,4,85,70,4,85,79,4,86.7,82,6
B4,Mucuna,18,29,3,39,33,3,54,38,4,75,41,3,95.6,48,4,129,60,4,140,62,4,146,66,4,148,69,4,148,71,4,151.6,76,5
B4,Mucuna,19,31,4,24,35,4,45,39,4,58,47,4,91,55,4,121,61,4,125,66,4,129,72,4,131,76,4,131,79,4,135.2,84,6
B4,Mucuna,25.7,28,3,27,31,4,42,37,4,62.9,37,4,78.7,44,4,98.8,55,4,114.7,64,4,125,76,4,127,80,4,127,86,4,130,91,6
C4,Mucuna,25,24,3,45,27,3,65,32,3,78,48,3,87.7,62,3,104.8,75,4,121.1,71,4,137,71,4,139,76,4,139,81,4,142.1,87,4
C4,Mucuna,24.6,25,3,27.6,29,3,60,39,3,73,51,3,90,60,4,114,64,4,119.9,66,5,124,66,5,125.6,71,5,125.6,79,5,127.9,84,5
C4,Mucuna,32,22,3,37,31,3,44,37,4,46,49,4,49,60,4,53.6,61,4,59.4,64,5,64,64,5,68,69,5,72.4,76,5,75.5,85,5
C4,Mucuna,31,28,4,33.8,33,4,62,42,4,74,51,4,115,68,5,120,71,5,123,74,4,123,74,4,124.7,69,4,124.7,72,4,127.5,80,5
D4,Mucuna,12,14,3,18,17,3,23,21,3,28,27,3,34,34,3,37,37,4,42,42,4,49,49,4,51,54,4,56,57,4,59.6,62,5
D4,Mucuna,17.8,22,3,21.3,25,3,34,28,3,47,47,4,98,54,4,100,61,4,101,64,4,101,69,4,103.8,74,4,103.8,77,4,106,81,5
D4,Mucuna,14,25,3,23,28,2,36,32,3,51,47,4,127,55,4,130,59,4,132,68,4,132,76,4,133.7,84,4,133.7,90,5,137.4,97,5
D4,Mucuna,17,11,3,25,15,3,65,19,3,78.9,37,4,95.7,44,4,100,55,4,102,64,4,105,76,4,106.9,80,4,106.9,86,4,109.6,94,5
